,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,normweight,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
37,5/2/2016,US455780BW52,0.030536823,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/8/2046,Senior Unsecured,5.95,Semiannually,14.25791092,0.133053266,111.125,N,Baa3,BB+,USD-IDGV-SEN,29.68651608,2.116348184,0,0.017962351,FALSE,FALSE,0.133053266,0.796950194,1,2.048974139,0.106036826,0.67030813,-0.067374044
38,5/2/2016,USY20721BG36,0.021756904,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2025,Senior Unsecured,4.125,Semiannually,7.320275982,0.212885226,102.375,N,Baa3,BB+,USD-IDGV-SEN,8.706365503,1.777346044,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.709972,0.169658922,0.67030813,-0.067374044
39,5/2/2016,USY20721BH19,0.023227167,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,10/17/2023,Senior Unsecured,5.375,Semiannually,6.285091681,0.106442613,109.875,N,Baa3,BB+,USD-IDGV-SEN,7.457905544,1.842737479,0,0.014369881,FALSE,FALSE,0.106442613,0.796950194,1,1.775363435,0.084829461,0.67030813,-0.067374044
40,5/2/2016,USY20721BJ74,0.022631287,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2024,Senior Unsecured,5.875,Semiannually,6.302916763,0.212885226,113.75,N,Baa3,BB+,USD-IDGV-SEN,7.704312115,1.816748241,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.749374197,0.169658922,0.67030813,-0.067374044
41,5/2/2016,USY20721BE87,0.026551848,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/15/2043,Senior Unsecured,4.625,Semiannually,15.1096943,0.15966392,97.25,N,Baa3,BB+,USD-IDGV-SEN,26.95140315,1.976514251,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,1.909140206,0.127244192,0.67030813,-0.067374044
42,5/2/2016,US455780BM70,0.026636386,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,4/15/2043,Senior Unsecured,4.625,Semiannually,15.10191642,0.15966392,97.125,N,Baa3,BB+,USD-IDGV-SEN,26.95140315,1.979693102,0,0.021554821,FALSE,FALSE,0.15966392,0.796950194,1,1.912319057,0.127244192,0.67030813,-0.067374044
43,5/2/2016,US455780BV79,0.022918659,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/8/2026,Senior Unsecured,4.75,Semiannually,7.778782683,0.239495879,106.125,N,Baa3,BB+,USD-IDGV-SEN,9.686516085,1.829366268,0,0.032332232,FALSE,FALSE,0.239495879,0.796950194,1,1.761992224,0.190866288,0.67030813,-0.067374044
44,5/2/2016,US455780BU96,0.028897399,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/15/2045,Senior Unsecured,5.125,Semiannually,14.75661546,0.212885226,101.125,N,Baa3,BB+,USD-IDGV-SEN,28.7063655,2.061166493,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.993792448,0.169658922,0.67030813,-0.067374044
45,5/2/2016,US455780AD80,0.019819634,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,8/1/2019,Unsecured,9.02,Semiannually,0.24931216,0.002661065,101.55,N,NR,NR,USD-IDGV-SEN,3.247091034,1.684087978,0,0.000359247,TRUE,FALSE,0,0.796950194,1,1.616713934,0,0.67030813,-0.067374044
46,5/2/2016,US455780AG12,0.019130288,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,6/1/2021,Unsecured,8.9,Semiannually,4.185204941,0.002661065,126.625,N,NR,NR,USD-IDGV-SEN,5.081451061,1.648687766,0,0.000359247,FALSE,FALSE,0.002661065,0.796950194,1,1.581313721,0.002120737,0.67030813,-0.067374044
47,5/2/2016,US455780AT33,0.032424471,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,10/12/2035,Senior Unsecured,8.5,Semiannually,11.06444852,0.170308181,139.125,N,Baa3,BB+,USD-IDGV-SEN,19.44421629,2.17632831,0,0.022991809,FALSE,FALSE,0.170308181,0.796950194,1,2.108954266,0.135727138,0.67030813,-0.067374044
48,5/2/2016,US455780AU06,0.006910297,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/9/2017,Senior Unsecured,6.875,Semiannually,0.835954867,0.106442613,104.25,N,Baa3,BB+,USD-IDGV-SEN,0.851471595,0.691029659,0,0.014369881,TRUE,FALSE,0,0.796950194,1,0.623655614,0,0.67030813,-0.067374044
49,5/2/2016,US455780AY28,0.010668175,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/17/2018,Senior Unsecured,6.875,Semiannually,1.61924489,0.202240965,108,N,Baa3,BB+,USD-IDGV-SEN,1.711156742,1.064679942,0,0.027302773,FALSE,FALSE,0.202240965,0.796950194,1,0.997305897,0.161175976,0.67030813,-0.067374044
50,5/2/2016,US455780AZ92,0.032621522,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,1/17/2038,Senior Unsecured,7.75,Semiannually,11.75175168,0.212885226,131,N,Baa3,BB+,USD-IDGV-SEN,21.71115674,2.182387154,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,2.11501311,0.169658922,0.67030813,-0.067374044
51,5/2/2016,US455780BC98,0.014304211,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/4/2019,Senior Unsecured,11.625,Semiannually,2.503443016,0.212885226,125,N,Baa3,BB+,USD-IDGV-SEN,2.836413415,1.357968891,0,0.028739761,FALSE,FALSE,0.212885226,0.796950194,1,1.290594847,0.169658922,0.67030813,-0.067374044
